dataset,method,n,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nonzero_ratio_mean,train_seconds_mean,inference_seconds_mean,learned_alpha_mean,source_summary_file,verification_status
cifar10,entmax15,10,0.3956,0.013983720693879874,0.3830956386796777,0.016059581042017757,0.7675142853032975,29.20754947999376,0.539222259997041,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
cifar10,headwise_adaptive_entmax,10,0.39705,0.011814421507443997,0.38367011668980344,0.012367192340136172,0.768957793712616,29.26006361999898,0.5892734400054905,1.5054833352565766,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
cifar10,softmax,10,0.3822,0.01918361569441776,0.3657249097182692,0.0216764155565407,0.9994833941970553,7.016978269995889,0.13887252000276926,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
cifar10,sparsemax,10,0.39395,0.016915558255969892,0.3812352872350897,0.02218011244985973,0.45773194418067026,11.582323569996516,0.20780627000203816,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
cifar10,topk_softmax_0125,10,0.40445000000000003,0.010358705410319271,0.3943845644355617,0.014366147048752586,0.1764705784264065,8.119613780002691,0.1465322600008221,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
cifar10,topk_softmax_025,10,0.4085,0.009974968671629997,0.3976216236374768,0.012354076846043288,0.29411760951791494,8.293922510003904,0.1465731099946424,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
cifar10,topk_softmax_05,10,0.40570000000000006,0.008910667763978164,0.39069471483519363,0.010571140624647693,0.5294094623554321,11.872489539999515,0.2119550500035984,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
fashion_mnist,entmax15,10,0.7971,0.00814725584339769,0.7945841988926123,0.009720353768361426,0.7801886164716312,26.63049645999563,0.530358720003278,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
fashion_mnist,headwise_adaptive_entmax,10,0.79625,0.008094065041058725,0.7935447764543294,0.01023359139215983,0.7793195681912558,28.63891388999764,0.466799560005893,1.507713681459427,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
fashion_mnist,softmax,10,0.78045,0.01146358970344323,0.7750561961700404,0.013437533548691434,0.9997611948422023,8.07642324999324,0.144569820005563,,EXP-SND-000_topk__results__processed__advanced_normalizer_20260614_10seed_combined_summary.csv,g07_descriptive_reconstructed_no_new_compute
