dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
cifar10,torchvision:cifar10,entmax15,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,28.609490100003317,1.9011310338974,,0.7674416303634644,38.8212890625,0.4095,0.3998117704012708,1.6132508856909615,0.5873763999843504,0.769290546576182,33.070475999993505
cifar10,torchvision:cifar10,entmax15,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,32.341350200003944,1.8454484939575195,,0.8097318410873413,38.8212890625,0.4115,0.3999503263501544,1.6077451705932615,0.4316854000207968,0.8068905685629163,36.86362979997648
cifar10,torchvision:cifar10,entmax15,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,26.89945179998176,1.6575723886489868,,0.7207936942577362,38.8212890625,0.3835,0.3758432687493497,1.6776675950913202,0.5350772999809124,0.7302521623316265,31.114531300001545
cifar10,torchvision:cifar10,entmax15,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,34.961222699988866,1.5370855331420898,,0.7997026443481445,38.8212890625,0.3735,0.3519676836692012,1.6879396438598633,0.7380717000050936,0.8036953267597017,40.89804810000351
cifar10,torchvision:cifar10,entmax15,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,39.2937751999998,1.538881540298462,,0.7256650328636169,38.8212890625,0.393,0.3763421783379383,1.6620170502435594,0.7041336000256706,0.7346047120434898,44.46136090002256
cifar10,torchvision:cifar10,entmax15,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,30.472239900002023,1.4926888942718506,,0.7722102105617523,38.8212890625,0.3755,0.3651359696039652,1.6942134698232014,0.452919799980009,0.7628166888441358,34.00617469998542
cifar10,torchvision:cifar10,entmax15,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,26.568949999986216,1.6538939476013184,,0.7524113357067108,38.8212890625,0.402,0.3897193700623422,1.6640904006503878,0.4421321999980137,0.76610238637243,30.18800510000437
cifar10,torchvision:cifar10,entmax15,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,23.058303600002542,1.785053014755249,,0.7391273975372314,38.8212890625,0.396,0.3879288404350248,1.6632083824702673,0.599784299993189,0.7340095582462492,26.743398199992956
cifar10,torchvision:cifar10,entmax15,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,26.45776199997636,1.4385184049606323,,0.7316284775733948,38.8212890625,0.409,0.4004217969091938,1.6053220487776256,0.4153337999887299,0.7411255566846757,30.02640489998157
cifar10,torchvision:cifar10,entmax15,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,23.41294929999276,1.700551152229309,,0.8170090913772583,38.8212890625,0.4025,0.3838351822783369,1.6079713219688052,0.4857080999936443,0.826355346611568,26.9454235000012
