dataset,method,baseline,n,mean_delta_accuracy,mean_delta_macro_f1,paired_t_stat_accuracy,paired_p_value_accuracy,significant_p_lt_0_05,source_test_file,verification_status
cifar10,entmax15,softmax,10,0.013399999999999995,0.017370728961408555,2.9819529806385003,0.015400692322657998,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
cifar10,headwise_adaptive_entmax,softmax,10,0.014849999999999997,0.017945206971534306,3.7163409133784358,0.004797692280968991,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
cifar10,sparsemax,softmax,10,0.01175,0.015510377516820505,1.962387975715699,0.08133161303893352,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
cifar10,topk_softmax_0125,softmax,10,0.02225,0.02865965471729251,4.445433427816291,0.0016107911975130212,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
cifar10,topk_softmax_025,softmax,10,0.026299999999999997,0.03189671391920761,5.854733401203072,0.00024232548606018152,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
cifar10,topk_softmax_05,softmax,10,0.023499999999999993,0.02496980511692446,4.911967750755897,0.0008337782247807863,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
fashion_mnist,entmax15,softmax,10,0.01665000000000002,0.01952800272257186,4.697809558984329,0.0011236319216069634,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
fashion_mnist,headwise_adaptive_entmax,softmax,10,0.015800000000000026,0.01848858028428897,3.863631194043742,0.0038257889390827292,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
fashion_mnist,sparsemax,softmax,10,0.022200000000000032,0.026220091335225314,8.523065562175246,1.3299132359329364e-05,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
fashion_mnist,topk_softmax_0125,softmax,10,0.026000000000000023,0.030655114394099025,5.747893875812475,0.00027703059093175985,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
fashion_mnist,topk_softmax_025,softmax,10,0.02290000000000002,0.02589805617620188,4.289646636702001,0.0020211202411007487,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
fashion_mnist,topk_softmax_05,softmax,10,0.014400000000000024,0.017098033819677116,3.454452751673276,0.007223761777262044,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
synthetic_marker,entmax15,softmax,10,0.00030000000000000024,0.0006213707359741999,0.12752174253952633,0.9013312879596898,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
synthetic_marker,headwise_adaptive_entmax,softmax,10,-0.00030000000000000165,-0.00047718601506494955,-0.11909305317400287,0.9078175430887467,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
synthetic_marker,sparsemax,softmax,10,-0.0002500000000000002,0.0007621349939414101,-0.1303362668978064,0.8991670813724788,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
synthetic_marker,topk_softmax_0125,softmax,10,-0.0032999999999999987,-0.0036235452411497297,-1.064393070696602,0.31487292352692103,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
synthetic_marker,topk_softmax_025,softmax,10,-5.000000000000004e-05,-0.001140035465476931,-0.015805023670038262,0.987734765536739,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
synthetic_marker,topk_softmax_05,softmax,10,0.0020000000000000018,0.00033010343282540154,0.8214554938627999,0.4326078675308437,False,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
twenty_news,entmax15,softmax,10,0.044866666666666666,0.046065451390892076,14.748231248389677,1.3066450064217308e-07,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
twenty_news,headwise_adaptive_entmax,softmax,10,0.046266666666666664,0.047848164719481404,15.102825839812743,1.0630994957392862e-07,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
twenty_news,sparsemax,softmax,10,0.021866666666666652,0.02428044371871434,4.931355190458955,0.0008118263473952278,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
twenty_news,topk_softmax_0125,softmax,10,0.024533333333333313,0.026706129181848913,4.875419656458858,0.00087691759007556,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
twenty_news,topk_softmax_025,softmax,10,0.025666666666666654,0.027267220291480827,5.495951187197238,0.00038218343659512054,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
twenty_news,topk_softmax_05,softmax,10,0.02453333333333334,0.026168138135099016,4.875419656458874,0.0008769175900755407,True,EXP-SND-000_topk__results__statistical_tests__advanced_normalizer_20260614_10seed_combined_paired_tests.csv,g07_paired_test_reconstructed_no_new_compute
